entityid,entityname,principaladdress1,principaladdress2,principalcity,principalstate,principalzipcode,principalcountry,mailingaddress1,mailingaddress2,mailingcity,mailingstate,mailingzipcode,mailingcountry,entitystatus,jurisdictonofformation,entitytype,agentfirstname,agentmiddlename,agentlastname,agentsuffix,agentorganizationname,agentprincipaladdress1,agentprincipaladdress2,agentprincipalcity,agentprincipalstate,agentprincipalzipcode,agentprincipalcountry,agentmailingaddress1,agentmailingaddress2,agentmailingcity,agentmailingstate,agentmailingzipcode,agentmailingcountry,entityformdate
19981026036,"DAIRY ENTERPRISES, INC., Delinquent July 1, 2011",1955 CEDAR AVE,,CANON CITY,CO,81212,US,,,,,,,Delinquent,CO,DPC,RICHARD,A,NICHOLS,,,1955 CEDAR AVE,,CANON CITY,CO,81212,US,,,,,,,02/10/1998
19981047525,"COCKROFT DAIRY FARM, LLLP",27906 WCR 388,,KERSEY,CO,80644,US,,,,,,,Good Standing,CO,DLLLP,Scott,R,Cockroft,,,27906 WCR 388,,KERSEY,CO,80644,US,,,,,,,03/12/1998
19981061878,"LONGS PEAK DAIRY, LLC",45490 County Road 39,,Pierce,CO,80650,US,,,,,,,Good Standing,CO,DLLC,,,,,LONGS PEAK DAIRY LLC,45490 County Road 39,,Pierce,CO,80650,US,45490 County Road 39,,Pierce,CO,80650,US,04/02/1998
19981077094,"DAIRY SALES CORPORATION, Dissolved December 14, 2004",888 GARDEN OF THE GODS RD,STE 200,COLORADO SPRINGS,CO,80907,US,888 GARDEN OF THE GODS ROAD,SUITE 200,COLORADO SPRINGS,CO,80907,US,Voluntarily Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,04/24/1998
19981085887,"WHEAT RIDGE DAIRY CAFE L.L.C., Delinquent May 1, 2018",7552 Red Fox Drive,,Evergreen,CO,80439,US,P.O. Box 518,,Evergreen,CO,80437-0518,US,Delinquent,CO,DLLC,Armond,A,Azharian,,,7552 Red Fox Drive,,Evergreen,CO,80439,US,PO Box 518,,Evergreen,CO,80437-0518,US,05/08/1998
19981092046,"YSSELSTEIN DAIRY, INC., Colorado Authority Terminated November 1, 2000",1760 300TH ST,,ROCK VALLEY,IA,51247,US,,,,,,,Revoked,IA,FPC,,,,,,,,,,,,,,,,,,05/18/1998
19981107871,"DOUBLE W FARM DAIRY, LP",,,,,,,,,,,,,Exists,CO,DLP,GLEN,D.,HUWA,,,26215 CO RD 65,,HOLYOKE,CO,80734,US,,,,,,,06/10/1998
19981132415,"DESERT DAIRY SPECIALISTS LLC, Dissolved January 17, 2008",630 O ST,,GREELEY,CO,80631,US,PO BOX 1240,,GREELEY,CO,80632,US,Voluntarily Dissolved,CO,DLLC,,,,,"National Registered Agents, Inc",7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,07/20/1998
19981132915,"GRAFF DAIRY, LLC, Delinquent January 1, 2011",575 29 ROAD,,GRAND JUNCTION,CO,81504,US,,,,,,,Delinquent,CO,DLLC,JUDY,GRAFF,NICHOLS,,,575 29 ROAD,,GRAND JUNCTION,CO,81504,US,,,,,,,07/21/1998
19981139694,Cleland Dairy Farms Limited Liability Company,2474 County Road 7,,Erie,CO,80516,US,,,,,,,Good Standing,CO,DLLC,Josh,,Cleland,,,2474 County Road 7,,Erie,CO,80516,US,,,,,,,07/31/1998
19981165063,"LIX, Inc. dba Dairy Queen",5353 W Dartmouth Ave Ste 411,,Denver,CO,80227,US,,,,,,,Good Standing,CO,DPC,,,,,LIX HOLDING & MANAGEMENT CO,5353 W Dartmouth Ave Ste 411,,Denver,CO,80227,US,5353 W Dartmouth Ave Ste 411,,Denver,CO,80227,US,09/11/1998
19981224366,"A & A DAIRY, L.L.C.",6228 N County Road 13,,Loveland,CO,80538,US,,,,,,,Good Standing,CO,DLLC,TIMOTHY,P.,KOLDEWAY,,,6228 N County Road 13,,Loveland,CO,80538,US,,,,,,,12/17/1998
19991014419,"MERIDIAN DAIRY, INC., Dissolved November 1, 2001",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,01/26/1999
19991110712,"BURNETT DAIRY, INC., Delinquent November 1, 2014",4616 HWY 348,,OLATHE,CO,81425,US,,,,,,,Delinquent,CO,DPC,GERALD,D.,BURNETT,,,4616 HWY 348,,OLATHE,CO,81425,US,,,,,,,06/10/1999
19991117486,"HIGH COUNTRY DAIRY SUPPLIES, INC., Dissolved April 1, 2004",275 WCR 48,,BERTHOUD,CO,80513,US,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,06/21/1999
19991144052,"HAAKE DAIRY, INC., Dissolved December 18, 2007",322 Curtis,,Brush,CO,80723,US,322 Curtis,,Brush,CO,80723,US,Voluntarily Dissolved,CO,DPC,,,,,"HAAKE DAIRY, INC.",322 Curtis,,Brush,CO,80723,US,,,,,,,08/02/1999
19991157889,"FLORIDA DAIRY PARTNERS, LLC, Dissolved November 1, 2012",23343 NW CR 236,,HIGH SPRINGS,FL,32643,US,23343 NW CR 236,,High Springs,FL,32643,US,Voluntarily Dissolved,CO,DLLC,LEE,F.,SACHNOFF,,,370 17TH ST STE 5350,,DENVER,CO,80202,US,,,,,,,08/23/1999
19991157909,"BIJOU HILL DAIRY, INC.",2020 Bradbury Krebs Rd,,Byers,CO,80103,US,,,,,,,Good Standing,CO,DPC,,,,,Patricia Jo Stone P.C.,19751 E Mainstreet Ste 200,,Parker,CO,80138,US,,,,,,,08/23/1999
19991205069,"FOSS DAIRY FARM, LLLP",32970 County Road 59,,Gill,CO,80624,US,32687 County Road 59,,Gill,CO,80624,US,Good Standing,CO,DLLLP,Robin,L,Meireis,,,32970 County Road 59,,Gill,CO,80624,US,32687 County Road 59,,Gill,CO,80624,US,11/01/1999
19991225122,"SAXECROFT DAIRY LLC, Dissolved May 1, 2003",1660 LINCOLN ST STE 2230,,DENVER,CO,80264,US,,,,,,,Administratively Dissolved,CO,DLLC,ZION,SHIVELY JUDITH,A,,,1660 LINCOLN ST STE 2230,,DENVER,CO,80264,US,,,,,,,12/02/1999
19991247767,"DAIRY RESEARCH & TECHNOLOGY, LLC.",6427 County Road 68 1/2,,Windsor,CO,80550,US,PO Box 920,,Laporte,CO,80535,US,Good Standing,CO,DLLC,Marguerita,,Cattell,,,6427 County Road 68 1/2,,Windsor,CO,80550,US,PO Box 920,,Laporte,CO,80535,US,12/31/1999
20001016904,"WEST DAIRY, LLC, Delinquent June 1, 2023",6126 E. Joshua Tree Lane,,Paradise Valley,AZ,85253,US,,,,,,,Delinquent,CO,DLLC,,,,,"Bachman & Company CPA, PC","1531 Skyway Drive, Unit A",,Longmont,CO,80504,US,1531 Skyway Drive,Unit A,Longmont,CO,80504,US,01/26/2000
20001021891,"SEIBER DAIRY, LLC",18374 County Road 2,,Wiggins,CO,80654,US,18374 County Road 2,,Wiggins,CO,80654,US,Good Standing,CO,DLLC,Robert,Ed,Seiber,,,18374 County Road 2,,Wiggins,CO,80654,US,,,,,,,02/01/2000
20001028370,"ROBINSON DAIRY, LLC, Colorado Authority Relinquished December 31, 2009",2515 MCKINNEY AVE,STE 1200,DALLAS,TX,75201,US,"2515 McKinney Avenue, Suite 1200",,Dallas,TX,75201,US,Withdrawn,DE,FLLC,,,,,The Corporation Company,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,02/09/2000
20001054086,HIGH VALLEY DAIRY COOPERATIVE,1452 Wagon Wheel Road,,CRESTONE,CO,81131,US,P.O. Box 105,,Crestone,CO,81131,US,Good Standing,CO,DC56,JOANNA,,DOKSON,,,1452 Wagon Wheel Road,,CRESTONE,CO,81131,US,P.O. Box 105,,Crestone,CO,81131,US,03/15/2000
20001065695,"HIGHLAND DAIRY LLC, Dissolved May 17, 2005",5651 WCR 42,,JOHNSTOWN,CO,80534,US,9100 WCR 8,,FORT LUPTON,CO,80621,US,Voluntarily Dissolved,CO,DLLC,GREG,B.,MARRS,,,9100 WCR 8,,FORT LUPTON,CO,80621,US,,,,,,,03/30/2000
20001071371,"THE DAIRY HUT, LLC, Dissolved September 30, 2004",492 4TH ST,,DEER TRAIL,CO,80105,US,PO BOX 130,,DEER TRAIL,CO,80105,US,Administratively Dissolved,CO,DLLC,ROBERT,L.,SANGER,,,492 4TH ST,,DEER TRAIL,CO,80105,US,PO BOX 188,,DEER TRAIL,CO,80105,US,04/10/2000
20001103238,"AURORA DAIRY - TEXAS, LLC, Dissolved July 7, 2005",1401 Walnut Street,Suite 500,Boulder,CO,80302,US,"1401 Walnut Street, Suite 500",,Boulder,CO,80302,US,Voluntarily Dissolved,CO,DLLC,LEE,F.,SACHNOFF,,,370 17TH ST STE 5350,,DENVER,CO,80202,US,,,,,,,05/22/2000
20001129535,"AURORA DAIRY - GEORGIA, LLC, Dissolved October 28, 2020","4600 Wells Fargo Center,90 S 7th St",,Minneapolis,MN,55402,US,,,,,,,Voluntarily Dissolved,CO,DLLC,,,,,"CFH Management, LLC",2595 Canyon Blvd. #420,,BOULDER,CO,80302,US,2595 Canyon Blvd.,Suite 420,Boulder,CO,80302,US,06/29/2000
20001131183,"BOREALIS DAIRY HOLDINGS--GEORGIA, LLC, Dissolved December 1, 2002",7228 STATE HWY 66,,PLATTEVILLE,CO,80651,US,,,,,,,Administratively Dissolved,CO,DLLC,LEE,F.,SACHNOFF,,,370 17TH ST STE 5350,,DENVER,CO,80202,US,,,,,,,07/03/2000
20001141876,"BOREALIS DAIRY HOLDINGS - TEXAS, LLC, Dissolved December 1, 2002",1401 WALNUT ST #300,,BOULDER,CO,80302,US,,,,,,,Administratively Dissolved,CO,DLLC,LEE,F.,SACHNOFF,,,370 17TH ST #5350,,DENVER,CO,80202,US,,,,,,,07/20/2000
20001161632,"PICKERT DAIRY, LLC, Delinquent December 1, 2018",19510 County Rd 5,,Berthoud,CO,80513,US,,,,,,,Delinquent,CO,DLLC,,,,,Pickert Dairy LLC,19504 County Rd 5,,Berthoud,CO,80513,US,19504 County Rd 5,,Berthoud,CO,80513,US,08/18/2000
20001172827,"C & J DAIRY KING, INC., Dissolved July 1, 2003",101 NO MARKET ST,,KEENESBURG,CO,80643,US,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,09/05/2000
20001178927,"DAIRY CALF MANAGEMENT, INC., Dissolved December 14, 2004",2056 E CTY RD 7,,LOVELAND,CO,80537,US,2056 E. COUNTY ROAD 7,,LOVELAND,CO,80537,US,Voluntarily Dissolved,CO,DPC,CHRIS,,BLEES,,,630 SOUTHPOINTE CT STE 200,,COLORADO SPRINGS,CO,80906,US,,,,,,,09/13/2000
20001203151,"DYELANDS DAIRY, LLC.",1137 N County Road 1,,Fort Collins,CO,80524,US,,,,,,,Good Standing,CO,DLLC,TERENCE,,DYE,,,1137 N County Road 1,,Fort Collins,CO,80524,US,,,,,,,10/19/2000
20001210736,KERBS DAIRY LLC,33440 County Road 55,,Gill,CO,80624,US,33500 County Road 55,,Gill,CO,80624,US,Good Standing,CO,DLLC,ELIZABETH,A,KERBS,,,33440 County Road 55,,Gill,CO,80624,US,33500 County Road 55,,Gill,CO,80624,US,10/30/2000
20001213040,"SEVEN BAR DAIRY, LLC, Delinquent December 1, 2011",2164 RIVER WEST DR,,WINDSOR,CO,80550,US,,,,,,,Delinquent,CO,DLLC,BILLY,G.,SHUTTS,,,2164 RIVER WEST DR.,,WINDSOR,CO,80550,US,2164 RIVER WEST DR,,WINDSOR,CO,80550,US,11/01/2000
20001228817,"CACUTS ACRES DAIRY, LLLP, Delinquent October 1, 2005",15884 CR 10,,FORT MORGAN,CO,80701,US,,,,,,,Delinquent,CO,DLLLP,MARY,ANN,GOEDERT,,,15884 CR 10,,FORT MORGAN,CO,80701,US,,,,,,,11/27/2000
20001249200,"DAIRY CLEAN, LLC, Dissolved May 1, 2003",3999 SO VALLEY DR,,LONGMONT,CO,80504,US,,,,,,,Administratively Dissolved,CO,DLLC,M.,DENIS,BRUNK,,,3999 SO VALLEY DR,,LONGMONT,CO,80504,US,,,,,,,12/20/2000
20001249901,"DAIRY FINANCING MANAGEMENT, LLC, Colorado Authority Terminated June 1, 2003",5840 W 1 20 STE 120,PO BOX 170669,ARLINGTON,TX,76003-0669,US,,,,,,,Revoked,DE,FLLC,,,,,,,,,,,,,,,,,,12/21/2000
20001253385,"LAZY K DAIRY, LLC",2192 Birdie Dr,,Milliken,CO,80543,US,,,,,,,Good Standing,CO,DLLC,MICHAEL,,KATSAMPES,,,2192 Birdie Dr,,Milliken,CO,80543,US,,,,,,,12/27/2000
20011022333,COTTONWOOD DAIRY INC.,9033 County Road 26,,Fort Lupton,CO,80621,US,,,,,,,Good Standing,CO,DPC,Steven,,McClay,,,9033 County Road 26,,Fort Lupton,CO,80621,US,9033 County Road 26,,Fort Lupton,CO,80621,US,01/30/2001
20011090282,"NORTH CENTRAL DAIRY GOAT ASSOCIATION, Dissolved December 28, 2005",2463 WCR 37,,BRIGHTON,CO,80603,US,15339 Nancy Avenue,,Fort Lupton,CO,80621,US,Voluntarily Dissolved,CO,DNC,BETTY,ANN,BOAL,,,2463 WCR 37,,BRIGHTON,CO,80603,US,,,,,,,05/03/2001
20011120768,"KARL'S DAIRY COUNTRY STORE, LLLP, Dissolved October 25, 2021",13065 Gun Club Road,,Commerce City,CO,80022,US,,,,,,,Voluntarily Dissolved,CO,DLLLP,KAREN,A,SWAITHES,,,13065 Gun Club Road,,Commerce City,CO,80022,US,,,,,,,06/15/2001
20011129167,"ADVANCED DAIRY ANALYSIS, LLC",30598 County Road 29,,Greeley,CO,80631,US,,,,,,,Good Standing,CO,DLLC,GREGORY,M.,GOODELL,,,30598 County Road 29,,Greeley,CO,80631,US,,,,,,,06/28/2001
20011152100,"LOVELAND DAIRY LLC, Delinquent September 1, 2005",8604 E HIGHWAY 402,,LOVELAND,CO,80538,US,8604 E HIGHWAY 402,,LOVELAND,CO,80538,US,Delinquent,CO,DLLC,MICHELLE,E,DICKINSON,,,6875 NCR 9,,LOVELAND,CO,80538,US,,,,,,,08/02/2001
20011175392,"GRAVES DAIRY, LLC",5821 W County Road 54 E,,Bellvue,CO,80512,US,,,,,,,Good Standing,CO,DLLC,ROBERT,,GRAVES,,,5821 W County Road 54 E,,Bellvue,CO,80512,US,,,,,,,09/07/2001
20011232473,"HIGH COUNTRY DAIRY EQUIPMENT, INC., Dissolved October 1, 2003",275 WCR 48,,BERTHOUD,CO,80513,US,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,12/10/2001
20011246371,"DAIRY-RIGHT MANAGEMENT SYSTEMS, LLC, Dissolved June 1, 2003",2208 MOUNTAIR LN,,GREELEY,CO,80634,US,,,,,,,Administratively Dissolved,CO,DLLC,JAMES,EDWIN,KING,,,2208 MOUNTAIR LN,,GREELEY,CO,80634,US,,,,,,,01/01/2002
20021085752,"DAIRY MANAGEMENT, INC., Delinquent June 1, 2005",6875 N CR 9,,LOVELAND,CO,80538,US,,,,,,,Delinquent,CO,DPC,MICHAEL,B.,DICKINSON,,,6875 N CR 9,,LOVELAND,CO,80538,US,,,,,,,04/04/2002
20021266632,"STEGNER BROS. DAIRY LLP, Withdrawn February 7, 2012",2129 W CR 54 G,,FORT COLLINS,CO,80524,US,2219 W CR 54 G,,Fort Collins,CO,80524,US,Withdrawn,CO,GP,John,F.,Stegner,,,2219 W CR 54 G,,Fort Collins,CO,80524,US,,,,,,,09/26/2002
20021297252,"DAIRY INGREDIENTS, INC., Delinquent October 1, 2009",1536 WILLOW ST,,CANON CITY,CO,81212,US,,,,,,,Delinquent,CO,DPC,Richard,A,Nichols,,,1536 Willow,,Canon City,CO,81212,US,,,,,,,10/25/2002
20021297368,"ORO BLANCO DAIRY INC., Delinquent April 1, 2007",122 1ST ST,,EATON,CO,80615,US,,,,,,,Delinquent,CO,DPC,DANA,,SCHEIDECKER,,,124 OAK AVE,,EATON,CO,80615,US,PO BOX 337,,EATON,CO,80615,US,10/25/2002
20031084437,"COZY COW DAIRY, LLC, Dissolved May 28, 2024",1049 Pine Knoll Dr,,Estes Park,CO,80517,US,,,,,,,Voluntarily Dissolved,CO,DLLC,LESTER,,HARDESTY,,,1049 Pine Knoll Dr,,Estes Park,CO,80517,US,,,,,,,03/13/2003
20031106734,"BOULDER DAIRY, INC., Dissolved November 14, 2005",4479 NORTH BROADWAY,,BOULDER,CO,80304,US,32863 Upper Bear Creek Dr.,,Evergreen,CO,80439,US,Voluntarily Dissolved,CO,DPC,CHARLES,P. MARTIEN,LLC,,,2129 13TH ST,,BOULDER,CO,80302,US,,,,,,,04/04/2003
20031149711,"MOONLIGHT DAIRY, LLC, Dissolved October 31, 2004",504 ELDER ST,,KERSEY,CO,80644,US,,,,,,,Administratively Dissolved,CO,DLLC,GEORGE,H.,OTTENHOFF,,,1011 11TH AVE,,GREELEY,CO,80631,US,,,,,,,05/08/2003
20031184988,"DAIRY REPLACEMENTS, LLC, Delinquent December 1, 2011",1955 CEDAR AVE,,CANON CITY,CO,81212,US,,,,,,,Delinquent,CO,DLLC,RICHARD,A.,NICHOLS,,,1955 CEDAR AVE,,CANON CITY,CO,81212,US,,,,,,,06/06/2003
20031198144,"AURORA DAIRY HOLDINGS, LLC",1919 14th Street,Suite 300,BOULDER,CO,80302,US,,,,,,,Good Standing,CO,DLLC,Lee,F.,Sachnoff,,,2001 16th St Ste 1800,Kutak Rock LLP,Denver,CO,80202-5291,US,,,,,,,06/18/2003
20031198388,"COLORADO SPRINGS DAIRY INVESTORS, LLC, Dissolved October 9, 2003",3801 N SINTON RD,,COLORADO SPRINGS,CO,80907,US,,,,,,,Voluntarily Dissolved,CO,DLLC,LARRY,,LOSASSO,,,3801 N SINTON RD,,COLORADO SPRINGS,CO,80907,US,,,,,,,06/18/2003
20031242666,"JOHNSON DAIRY, L.L.C.",23016 County Road 74,,Eaton,CO,80615,US,,,,,,,Good Standing,CO,DLLC,JOHN,D.,JOHNSON,,,23016 County Road 74,,Eaton,CO,80615,US,23016 County Road 74,,Eaton,CO,80615,US,07/29/2003
20031276930,Aurora Organic Dairy Corp.,1919 14th Street,Suite 300,Boulder,CO,80302,US,,,,,,,Good Standing,DE,FPC,Lee,F.,Sachnoff,,,2001 16th St Ste 1800,Kutak Rock LLP,Denver,CO,80202-5291,US,,,,,,,08/28/2003
20031290535,"COLORADO DAIRY SERVICE, LLC",8360 Gladstone Lake Rd,,Brainerd,MN,56401,US,,,,,,,Good Standing,CO,DLLC,Joel,M,Ledermann,,,2525 Frances Drive,,Loveland,CO,80534,US,,,,,,,09/09/2003
20031301462,"E. & J. DAIRY, INC., Dissolved November 30, 2012",10859 COUNTY RD 76 1/2,,WINDSOR,CO,80550,US,,,,,,,Voluntarily Dissolved,CO,DPC,Joyce,,JOHNSON,,,10859 COUNTY RD 76 1/2,,WINDSOR,CO,80550,US,,,,,,,09/19/2003
20031319325,"BOB'S DAIRY HUT LLC, Delinquent December 1, 2005",456 CEDAR,,DEER TRAIL,CO,80105,US,,,,,,,Delinquent,CO,DLLC,,,,,BOB'S DAIRY HUT,456 CEDAR,,DEER TRAIL,CO,80105,US,212 4TH AVE,,DEER TRAIL,CO,80105,US,10/08/2003
20031375108,"AURORA DAIRY - MISSISSIPPI, LLC, Dissolved November 2, 2006",23343 NW CR 236,,HIGH SPRINGS,FL,32643,US,23343 NW CR 236,,High Springs,FL,32643,US,Voluntarily Dissolved,CO,DLLC,,,,,,,,,,,,,,,,,,11/25/2003
20031380473,"DULCE DAIRY LLC, Delinquent May 1, 2022",25416 COUNTY ROAD 46,,KERSEY,CO,80644,US,PO BOX 360,,Kersey,CO,80644,US,Delinquent,CO,DLLC,William,,deGroot,,,25416 WCR 46,,KERSEY,CO,80644,US,PO BOX 360,,KERSEY,CO,80644,US,12/02/2003
20041002570,"COLORADO DAIRY GOAT EVENTS, Dissolved June 30, 2005",16075 N HWY 287,,LONGMONT,CO,80504,US,,,,,,,Administratively Dissolved,CO,DNC,MARTIN,,SHEILA,,,46122 CO RD 53,,BENNETT,CO,80102,US,,,,,,,01/05/2004
20041012052,"GRAFF BROTHERS DAIRY, INC.",628 1800 Rd,,Delta,CO,81416,US,,,,,,,Good Standing,CO,DPC,TINA,M.,GRAFF,,,628 1800 Rd,,Delta,CO,81416,US,,,,,,,01/12/2004
20041070629,"THE DAIRY AUTHORITY, PROF. LLC",8215 W 20th St Ste A,,Greeley,CO,80634,US,,,,,,,Good Standing,CO,DLLC,GREGORY,M.,GOODELL,,,8215 W 20th St Ste A,,Greeley,CO,80634,US,,,,,,,02/26/2004
20041119677,"DINKY DAIRY & GRILL, LLC, Delinquent October 1, 2011",790 Cumberland Dr.,,Jefferson,CO,80456,US,P O Box 212,,Jefferson,CO,80456,US,Delinquent,CO,DLLC,KARLA,,JOHNS,,,790 Cumberland Dr.,,Jefferson,CO,80456,US,PO BOX 212,,JEFFERSON,CO,80456,US,04/01/2004
20041185400,"CONEY ISLAND DAIRYLAND, INC., Delinquent August 1, 2008",8115 COUNTY RD 144,,SALIDA,CO,81201,US,,,,,,,Delinquent,CO,DPC,,,,,,,,,,,,,,,,,,05/20/2004
20041341517,"Southeast Dairy Company, LLC, Dissolved October 17, 2011",2595 Canyon Blvd.,#420,Boulder,CO,80302,US,2595 Canyon Blvd. #420,,Boulder,CO,80302,US,Voluntarily Dissolved,CO,DLLC,,,,,"CFH Management, LLC",2595 Canyon Blvd.,#420,Denver,CO,80302,US,,,,,,,09/30/2004
20041344742,"Dairy Air Aircraft Services, LLC, Delinquent December 1, 2005",8200 N. Sheridan Blvd. #208,,westminster,CO,80003,US,,,,,,,Delinquent,CO,DLLC,Joshua,Steven,Mittelsted,,,8200 N. Sheridan Blvd. #208,,westminster,CO,80003,US,,,,,,,10/04/2004
20041354507,"Dairy Production Systems, LLC, Delinquent March 1, 2013",23343 NW CR 236,,High Springs,FL,32643,US,,,,,,,Delinquent,CO,DLLC,,,,,"REGISTERED AGENT SOLUTIONS, INC.",36 South 18th Avenue,Suite D,Brighton,CO,80601,US,,,,,,,10/12/2004
20041358229,"Front Range Dairy, LLC",9743 County Road 16,,Fort Lupton,CO,80621,US,,,,,,,Good Standing,CO,DLLC,David,,DeHaan,,,9743 County Road 16,,Fort Lupton,CO,80621,US,,,,,,,10/13/2004
20041358258,"Great Western Dairy, LLC",39390 County Road 39,,Ault,CO,80610,US,,,,,,,Good Standing,CO,DLLC,Larry,D,DeHaan,,,39390 County Road 39,,Ault,CO,80610,US,39390 County Road 39,,Ault,CO,80610,US,10/13/2004
20041428953,"Yuma County Dairy, LLC",8798 County Road 39,,Yuma,CO,80759,US,,,,,,,Good Standing,CO,DLLC,Tracy,,Lungwitz,,,8798 County Road 39,,Yuma,CO,80759,US,8798 CO RD 39,,YUMA,CO,80759,US,12/13/2004
20041450980,"BUXMAN DAIRY & FARMS, L.L.C.",14441 County Road 66,,Greeley,CO,80631,US,32186 COUNTY ROAD 29,,Greeley,CO,80631,US,Good Standing,CO,DLLC,Donald,D,Buxman,,,32186 COUNTY ROAD 29,,Greeley,CO,80631,US,,,,,,,01/01/2005
20051006842,"Busker Dairy, LLC, Delinquent July 1, 2007",7678 WCR 17,,Fort Lupton,CO,80621,US,,,,,,,Delinquent,CO,DLLC,George,H.,Ottenhoff,,,1011 11th Avenue,,Greeley,CO,80631,US,,,,,,,01/06/2005
20051029946,"Lucky 7 Goat Dairy LLC, Withdrawn May 20, 2005",1636 Aspen Street,,Strasburg,CO,80136,US,P.O. Box 42,,Strasburg,CO,80136,US,Withdrawn,CO,GP,Henry,D,Nordloh,,,1636 Aspen Street,,Strasburg,CO,80136,US,P.O. Box 42,,Strasburg,CO,80136,US,01/19/2005
20051038460,"BOULDER VALLEY DAIRY SERVICE INC, Delinquent June 1, 2014",5686 Valmont Rd. #B,,BOULDER,CO,80301,US,PO BOX 18624,,Boulder,CO,80308,US,Delinquent,CO,DPC,EDWARD,J,MILLS,,,5686 VALMONT RD #B,,BOULDER,CO,80301,US,PO BOX 18624,,Boulder,CO,80308,US,01/25/2005
20051092032,"LANETTE DAIRY LLC, Delinquent September 1, 2008",9749 TELLER COURT,,WESTMINSTER,CO,80021,US,,,,,,,Delinquent,CO,DLLC,LORNA,LANETTE,EFFINGER,,,9749 TELLER COURT,,WESTMINSTER,CO,80021,US,,,,,,,03/02/2005
20051098486,"Advanced Dairy Herd Development, Delinquent May 1, 2006",52448 County Road J,,Yuma,CO,80759,US,,,,,,,Delinquent,CO,DLLC,Jody,Lynn,Brandner,,,52448 County Road J,,Yuma,CO,80759,US,,,,,,,03/08/2005
20051191827,"Natural Choice Dairy, LLC, Dissolved February 26, 2013",7111 County Rd 50,,Johnstown,CO,80534,US,,,,,,,Voluntarily Dissolved,CO,DLLC,Sharon,,Wilson,,,7111 County Rd 50,,Johnstown,CO,80534,US,,,,,,,05/10/2005
20051205871,"Lucky 7 Goat Dairy LLC, Dissolved September 16, 2009",1636 Aspen Street,,Strasburg,CO,80136,US,2806 N 5th St,,Canon City,CO,80136,US,Voluntarily Dissolved,CO,DLLC,Henry,D,Nordloh,,,2806 N 5th St,,Canon City,CO,81212,US,2806 N 5th St,,Canon City,CO,81212,US,05/20/2005
20051212988,"Dairy Production Systems-Mississippi, LLC, Delinquent October 1, 2012",23343 NW CR 236,,High Springs,FL,32643,US,,,,,,,Delinquent,CO,DLLC,,,,,"REGISTERED AGENT SOLUTIONS, INC.",36 South 18th Avenue,Suite D,Brighton,CO,80601,US,,,,,,,05/27/2005
20051226335,"Dairy Information Systems Holdings, LLC, Delinquent November 1, 2020",2711 N. Haskell Avenue,,Dallas,TX,75204,US,,,,,,,Delinquent,Delaware,FLLC,,,,,C T Corporation System,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,06/09/2005
20051241980,"Cockrofts Brad & Scott Dairy, LLC",27906 County Road 388,,Kersey,CO,80644,US,,,,,,,Good Standing,CO,DLLC,Scott,R,Cockroft,,,27906 County Road 388,,Kersey,CO,80644,US,27906 County Road 388,,Kersey,CO,80644,US,06/22/2005
20051272766,"Windsor Dairy, LLC",6427 County Road 68 1/2,,Windsor,CO,80550,US,PO Box 920,,Laporte,CO,80535,US,Good Standing,CO,DLLC,Marguerita,,Cattell,,,6427 County Road 68 1/2,,Windsor,CO,80550,US,PO Box 920,,Laporte,CO,80535,US,07/15/2005
20051286314,"Dairy Kreme, Inc., Delinquent September 1, 2006",112 6th ST.,,Glenwood Springs,CO,81601,US,,,,,,,Delinquent,CO,DPC,Kevin,,Kipp,,,112 6th ST.,,Glenwood Springs,CO,81601,US,,,,,,,07/27/2005
20051372253,"CHAPIN DAIRY, LLC",8244 Highway 144,,Weldona,CO,80653,US,,,,,,,Good Standing,CO,DLLC,A. FOY,,CHAPIN,,,8244 Highway 144,,Weldona,CO,80653,US,,,,,,,12/22/2005
20051372262,"Chapin Dairy Two, LLC",8244 Highway 144,,Weldona,CO,80653,US,,,,,,,Good Standing,CO,DLLC,A. Foy,,Chapin,,,8244 Highway 144,,Weldona,CO,80653,US,,,,,,,10/21/2005
20051381773,"Kinikin Corner Dairy LLC, Dissolved February 10, 2015",71502 R71 Road,,Montrose,CO,81401,US,71502 R 71 Rd,,Montrose,CO,81401,US,Voluntarily Dissolved,CO,DLLC,Richard,Scott,Freeman,,,71502 R71 Road,,Montrose,CO,81401,US,,,,,,,10/13/2005
20051424759,"Boulder Dairy, LLC, Dissolved January 31, 2017",PO Box 1408,,Evergreen,CO,80437,US,,,,,,,Voluntarily Dissolved,CO,DLLC,,,,,"Charles P. Martien, LLC",1818 16th Street,,Boulder,CO,80302,US,,,,,,,11/14/2005
